inventory_id,product_id,quantity_available,last_update_date
117,4404,78,2023-08-24 16:33:36
118,658,81,2022-11-13 05:18:02
119,3878,79,2023-02-04 14:26:49
120,4391,22,2023-08-16 06:59:37
121,1527,58,2023-02-26 13:18:00
122,1721,93,2022-11-03 10:34:11
123,1374,31,2022-12-15 06:11:21
124,1789,61,2023-09-22 04:26:41
125,3728,47,2023-02-11 08:24:31
126,843,95,2023-03-05 03:04:10
127,3366,54,2022-12-29 03:51:09
128,2077,14,2023-07-20 16:23:31
129,2997,98,2023-07-10 09:54:15
130,1408,83,2023-05-15 16:17:18
131,4914,2,2023-06-22 07:13:20
132,3847,48,2022-11-01 11:24:00
133,4762,40,2023-08-13 04:29:42
134,4212,3,2023-02-26 21:24:31
135,4482,26,2022-10-04 18:58:10
136,2711,51,2022-12-21 10:51:44
137,4791,27,2023-02-04 20:05:34
138,1967,52,2023-01-28 11:39:06
139,3170,24,2022-11-28 18:59:17
140,2887,29,2023-08-09 00:02:09
141,1711,13,2023-04-14 04:29:22
142,4673,20,2022-11-25 11:50:13
143,3185,29,2022-12-22 16:00:41
144,971,35,2023-03-06 02:07:37
145,3764,69,2023-01-12 05:12:33
146,4376,17,2023-06-05 19:30:14
147,2907,34,2022-10-13 23:32:38
148,4973,75,2023-07-22 05:00:13
149,3122,7,2023-07-14 16:50:28
150,146,25,2022-10-18 14:17:12
151,1576,47,2023-06-11 10:34:21
152,3071,42,2023-02-18 14:42:44
153,1461,81,2022-12-28 21:05:42
154,1773,71,2023-07-18 02:18:42
155,4918,73,2022-10-13 23:19:07
156,851,2,2022-12-23 20:40:04
157,723,14,2023-06-12 16:04:51
158,3327,12,2023-05-11 21:44:51
159,2512,54,2023-02-11 23:27:50
160,2100,70,2022-10-01 23:14:45
161,2036,5,2023-09-27 08:39:10
162,1612,48,2023-01-05 01:47:57
163,3277,50,2023-06-21 13:39:59
164,2563,79,2023-03-21 14:15:44
165,4281,37,2022-10-13 09:46:17
166,4975,15,2023-08-24 02:41:48
167,4585,53,2023-03-22 08:50:42
168,2496,23,2023-08-11 00:38:36
169,1892,10,2023-06-05 12:20:56
170,4408,9,2023-02-14 23:20:58
171,1791,66,2023-09-18 23:42:30
172,1286,59,2023-08-16 17:10:47
173,552,62,2023-02-21 04:26:24
174,4267,9,2022-12-08 18:44:06
175,723,76,2023-05-10 16:00:22
176,3842,52,2022-12-06 05:55:47
177,4197,55,2023-05-30 13:45:23
178,514,82,2023-08-06 01:33:35
179,3737,35,2023-09-23 01:12:57
180,4760,82,2022-10-21 13:38:05
181,2534,2,2022-11-15 08:23:13
182,1389,51,2023-03-21 01:34:11
183,1085,65,2023-09-12 02:22:55
184,217,98,2022-11-08 06:03:59
185,147,98,2023-02-08 09:49:08
186,3556,74,2023-05-14 18:52:05
187,4325,19,2022-10-18 05:06:44
188,3042,10,2022-10-21 00:19:24
189,2694,30,2023-06-05 21:12:03
190,3088,97,2023-03-01 09:01:07
191,2094,44,2022-12-09 03:33:02
192,438,88,2023-09-26 07:23:23
193,2892,87,2023-06-10 17:58:03
194,2440,80,2023-04-11 07:01:16
195,2120,77,2023-09-20 07:24:09
196,3940,17,2022-12-15 06:05:26
197,742,58,2023-09-21 11:16:06
198,3486,25,2023-04-23 14:05:27
199,1355,30,2023-05-16 07:03:28
200,806,21,2023-07-05 23:49:32
201,4500,68,2023-05-07 18:09:56
202,1025,98,2023-01-15 01:52:36
203,4828,9,2023-01-13 22:02:47
204,3235,48,2022-11-28 02:04:19
205,277,94,2022-10-10 19:59:55
206,539,88,2023-05-29 14:01:59
207,939,10,2023-07-24 23:54:24
208,307,29,2023-01-09 22:21:12
209,2042,57,2023-01-09 13:37:14
210,4022,73,2023-05-15 05:34:25
211,266,60,2023-03-13 12:40:33
212,195,11,2023-02-11 05:11:51
213,3382,25,2023-01-24 01:17:26
214,1432,70,2022-10-17 00:41:27
215,4287,63,2023-02-06 06:36:25
216,3405,6,2022-10-16 08:28:38
217,3224,32,2023-03-19 16:06:27
218,779,46,2023-03-17 14:52:17
219,4275,30,2023-01-27 17:53:28
220,3664,89,2023-03-28 07:35:32
221,2020,48,2023-02-14 23:14:36
222,4293,53,2022-12-30 09:05:12
223,2099,51,2023-01-29 20:51:02
224,137,29,2023-09-23 23:23:51
225,471,3,2023-01-12 13:25:34
226,289,16,2022-10-10 06:36:26
227,4448,11,2022-11-01 16:53:28
228,4867,63,2023-06-28 17:26:33
229,1667,81,2022-11-22 21:15:04
230,3517,5,2023-05-03 20:38:06
231,756,51,2023-05-19 18:38:03
232,2514,87,2022-09-27 16:47:51
233,3483,73,2023-07-26 22:56:19
234,318,81,2023-01-22 02:36:37
235,4984,3,2023-01-20 13:24:06
236,4048,99,2023-06-28 03:11:24
237,933,77,2023-07-07 17:00:16
238,4394,12,2023-03-06 16:55:47
239,1832,80,2023-07-16 12:27:42
240,3486,77,2023-01-07 22:36:22
241,2864,3,2023-06-18 16:59:15
242,3598,5,2022-11-18 14:04:24
243,3618,46,2023-05-24 15:27:36
244,3313,81,2022-10-09 06:52:20
245,1485,12,2023-03-10 11:49:31
246,2333,64,2022-12-19 23:23:27
247,3420,72,2023-01-12 00:43:10
248,4629,19,2023-06-03 21:49:53
249,1453,41,2022-11-22 15:56:28
250,3137,1,2023-06-07 17:18:32
251,1514,75,2023-04-20 14:46:33
252,3327,27,2023-03-05 15:47:45
253,1723,99,2023-06-18 04:45:17
254,4163,86,2023-05-18 07:23:19
255,4924,41,2023-06-19 19:29:23
256,3770,4,2023-05-25 02:09:52
257,2654,31,2023-02-05 16:44:29
258,3677,66,2022-12-15 09:57:11
259,1919,1,2023-08-17 20:33:49
260,2229,38,2023-06-14 01:55:45
261,3775,9,2023-04-21 16:53:33
262,888,68,2022-12-21 12:03:59
263,2297,18,2023-06-17 17:56:05
264,3807,12,2023-05-14 05:37:28
265,72,56,2022-09-30 15:25:05
266,4780,81,2022-11-07 17:30:16
267,4144,37,2023-01-19 08:19:50
268,538,61,2022-12-12 21:59:58
269,2441,65,2022-10-14 20:14:10
270,272,3,2023-01-15 18:37:47
271,964,44,2023-07-29 14:51:30
272,2635,99,2022-10-23 11:50:34
273,2705,52,2023-06-12 13:07:53
274,4403,14,2023-07-07 00:33:50
275,2413,95,2022-11-08 01:33:07
276,1641,74,2023-07-23 20:06:02
277,3129,59,2023-07-01 04:23:33
278,3495,79,2022-11-18 10:28:28
279,511,68,2023-01-02 10:55:54
280,4878,72,2023-03-06 11:53:22
281,1011,23,2023-03-15 07:39:24
282,1321,68,2023-08-20 08:56:52
283,1312,57,2023-09-25 03:01:05
284,3823,54,2023-01-03 05:37:20
285,4325,47,2023-08-05 10:04:08
286,1189,84,2023-03-03 07:17:37
287,566,91,2023-06-06 20:47:32
288,4119,79,2023-09-01 02:37:16
289,4222,82,2023-01-08 19:51:55
290,4255,92,2023-01-17 14:43:32
291,3119,16,2023-03-24 19:55:37
292,1293,47,2023-02-24 22:12:03
293,2785,35,2023-01-12 20:00:44
294,4504,16,2023-06-03 04:07:44
295,2201,65,2022-09-29 03:07:49
296,4856,52,2023-05-17 17:00:01
297,3324,15,2023-03-07 23:25:03
298,3006,56,2023-03-01 06:43:54
299,595,13,2022-11-09 06:07:59
300,2169,86,2023-02-05 22:40:29
301,1692,71,2022-10-11 16:32:57
302,2398,47,2023-04-23 04:14:13
303,582,78,2023-05-21 06:12:15
304,1571,13,2022-10-29 20:07:45
305,4597,56,2023-08-21 19:03:51
306,2596,35,2023-02-06 07:25:08
307,2850,72,2023-09-08 23:09:05
308,923,38,2023-05-06 11:48:11
309,2045,95,2023-04-11 18:51:35
310,4570,50,2022-12-09 06:21:43
311,1267,54,2023-06-09 20:02:07
312,2144,75,2023-09-26 18:32:23
313,3485,43,2023-08-12 10:39:30
314,4610,74,2023-03-28 08:16:45
315,3835,80,2023-01-04 09:44:41
316,1604,54,2023-07-13 03:05:37
317,764,17,2022-12-17 07:13:41
318,2932,34,2023-02-12 18:42:28
319,341,85,2023-03-25 12:25:40
320,4588,67,2023-06-19 19:01:18
321,689,34,2023-09-13 11:44:29
322,4032,29,2023-08-05 12:46:19
323,3426,60,2023-07-13 16:47:15
324,4398,25,2023-05-02 15:00:09
325,1126,17,2023-09-16 15:12:30
326,3199,3,2022-12-10 03:37:47
327,3864,26,2023-04-11 16:46:20
328,2220,78,2023-09-11 00:25:41
329,1681,36,2023-03-29 09:38:47
330,3369,52,2023-02-06 23:43:25
331,1708,20,2022-10-27 06:30:12
332,4852,90,2022-12-10 09:09:52
333,2208,63,2022-11-17 16:36:26
334,1620,70,2023-08-19 06:18:52
335,300,55,2023-04-11 21:57:50
336,1546,80,2023-07-17 22:45:18
337,4310,96,2023-02-16 03:03:07
338,4058,97,2023-09-09 20:56:16
339,3993,69,2022-12-16 18:10:43
340,1397,8,2023-09-23 14:02:44
341,1975,84,2023-05-04 09:31:44
342,371,3,2023-04-08 14:07:58
343,502,63,2022-11-15 09:20:41
344,501,27,2023-08-19 08:51:07
345,3079,13,2023-06-17 20:19:38
346,2466,55,2023-05-23 00:25:15
347,1996,63,2023-03-08 14:28:12
348,2799,69,2022-10-13 05:43:08
349,4089,74,2023-02-03 10:25:00
350,1080,76,2023-01-26 06:53:20
351,2315,45,2023-07-31 01:46:49
352,4540,24,2023-03-09 06:20:57
353,1963,6,2023-09-07 19:59:53
354,3913,51,2023-08-24 04:33:17
355,2878,28,2022-10-20 05:32:18
356,1993,24,2023-04-03 20:00:42
357,1036,17,2023-04-04 14:39:59
358,26,9,2023-02-22 17:09:30
359,558,83,2022-11-02 19:12:59
360,1371,53,2022-11-19 11:49:40
361,2608,82,2023-06-25 00:19:40
362,1577,3,2023-08-28 22:22:08
363,4465,18,2023-02-22 13:33:45
364,3551,7,2023-02-18 13:06:51
365,4205,9,2023-07-16 04:36:48
366,1420,66,2022-10-03 11:01:08
367,1621,10,2023-06-26 22:27:36
368,4192,20,2023-06-03 14:03:42
369,4301,46,2023-05-06 09:54:05
370,2608,15,2023-08-21 03:48:32
371,2386,67,2023-08-14 23:11:17
372,3427,53,2022-11-25 04:05:25
373,4472,44,2023-03-18 01:28:17
374,1178,32,2022-11-14 21:58:59
375,788,11,2022-12-12 00:56:41
376,4734,43,2023-06-11 10:33:29
377,1735,90,2022-11-06 19:27:05
378,1751,83,2022-10-22 03:30:48
379,4653,80,2023-06-11 20:56:29
380,2888,72,2023-09-06 22:48:21
381,4229,69,2022-10-22 10:01:24
382,4009,67,2023-01-23 19:41:32
383,4876,33,2023-01-17 05:03:56
384,2491,73,2023-07-15 18:24:34
385,2878,52,2022-11-16 17:25:07
386,499,44,2023-03-04 14:34:38
387,4099,78,2023-07-08 18:36:14
388,1737,93,2023-09-04 09:43:46
389,751,95,2023-01-17 12:49:11
390,1193,93,2023-05-25 02:16:50
391,4185,10,2023-04-03 07:43:29
392,20,33,2023-05-03 20:43:47
393,2864,79,2023-09-08 07:05:00
394,3432,23,2022-10-05 13:35:22
395,2953,72,2023-07-22 04:31:36
396,2236,62,2023-02-02 21:26:04
397,566,4,2023-04-06 21:27:49
398,2405,68,2023-01-05 13:50:53
399,4840,69,2023-03-28 03:21:03
400,2018,95,2023-07-01 00:56:12
401,4622,53,2023-07-20 17:14:06
402,4561,23,2023-04-05 02:59:19
403,522,16,2023-09-13 14:06:14
404,1781,79,2022-12-29 04:11:52
405,3478,64,2023-06-22 00:06:46
406,2670,74,2023-05-16 10:57:18
407,2844,15,2022-12-22 10:25:14
408,569,39,2022-12-09 23:27:55
409,3494,97,2023-07-14 03:35:07
410,910,21,2023-05-06 10:53:50
411,135,6,2022-10-15 10:11:29
412,981,67,2022-12-07 16:59:13
413,2157,45,2023-07-23 14:29:36
414,3794,66,2023-04-27 12:21:13
415,1720,19,2023-01-07 05:18:34
416,1756,38,2022-10-06 18:16:39
417,3580,19,2022-12-11 08:59:50
418,3981,38,2023-09-09 22:55:33
419,4050,48,2022-11-02 20:55:04
420,4997,73,2023-07-11 13:33:03
421,4643,37,2023-05-21 09:41:30
422,2467,16,2023-09-10 19:28:33
423,3327,91,2023-01-05 21:22:03
424,4680,20,2023-01-20 09:03:52
425,565,3,2023-06-20 20:08:41
426,1027,83,2023-09-26 01:43:59
427,3327,49,2023-02-17 21:52:00
428,1651,47,2023-03-13 18:50:25
429,3301,11,2022-09-30 09:10:54
430,3316,95,2023-09-15 06:27:34
431,941,85,2023-08-18 18:02:14
432,1917,70,2023-03-03 05:36:01
433,2102,34,2023-01-28 02:18:15
434,2956,78,2023-07-01 09:23:09
435,4922,74,2023-04-17 19:08:06
436,2731,9,2023-06-01 13:27:41
437,1337,29,2023-07-03 19:06:32
438,4245,40,2022-10-18 21:06:15
439,4522,32,2022-09-28 06:46:57
440,1381,22,2023-07-25 05:37:58
441,2043,90,2023-04-24 19:21:55
442,2195,9,2022-12-31 19:42:45
443,4330,59,2023-04-23 16:24:52
444,146,69,2023-05-25 16:38:21
445,2223,48,2023-05-21 10:19:17
446,1567,90,2022-12-02 10:20:50
447,2100,49,2023-08-16 14:19:46
448,4411,59,2022-10-09 16:54:24
449,3150,21,2023-08-10 20:52:40
450,1218,45,2023-09-25 02:07:05
451,2217,45,2023-03-20 22:47:40
452,605,85,2023-08-17 13:21:18
453,3277,71,2023-02-28 03:47:01
454,3049,3,2023-09-04 08:35:34
455,961,33,2022-12-25 16:03:46
456,29,49,2023-05-01 02:05:41
457,4185,88,2022-12-04 08:07:41
458,4761,74,2023-01-14 23:13:03
459,4768,32,2022-11-28 19:10:42
460,1463,1,2023-07-16 12:32:37
461,2437,90,2022-10-27 22:17:51
462,4641,78,2023-06-13 05:59:35
463,2795,52,2023-06-30 20:39:17
464,3188,23,2023-03-17 09:33:19
465,537,4,2023-06-02 00:17:31
466,1275,38,2023-08-31 04:33:25
467,3035,37,2023-05-24 14:52:54
468,2702,37,2023-07-22 01:23:11
469,165,34,2023-09-14 02:46:41
470,3120,76,2023-01-24 15:52:09
471,4478,15,2023-03-09 07:23:45
472,1438,31,2023-02-15 03:22:57
473,4722,99,2023-05-12 08:20:28
474,970,98,2022-12-07 13:57:26
475,4443,93,2022-12-15 06:39:32
476,1255,47,2022-12-21 15:30:54
477,4685,58,2023-05-03 03:45:48
478,3110,34,2023-01-28 14:22:12
479,2844,46,2023-07-04 08:32:02
480,1395,40,2023-01-21 16:38:34
481,2670,32,2022-10-23 13:53:24
482,4559,98,2023-06-21 06:10:56
483,1459,9,2023-03-24 01:52:44
484,1949,68,2023-07-03 03:44:40
485,3823,32,2023-01-08 14:11:29
486,4869,59,2022-12-01 23:38:20
487,1514,43,2023-08-19 20:07:23
488,1781,88,2023-07-10 23:30:01
489,2034,91,2023-09-14 07:40:38
490,4746,87,2023-04-07 07:30:01
491,246,1,2022-10-14 21:21:42
492,110,16,2023-07-15 01:08:23
493,2327,2,2023-04-21 17:03:13
494,4754,36,2023-08-28 14:18:11
495,1266,43,2023-08-22 04:12:47
496,4980,41,2023-05-15 16:02:15
497,4423,14,2023-02-08 09:15:19
498,347,90,2023-05-22 05:50:23
499,3317,86,2022-12-22 12:59:06
500,4927,61,2023-05-22 05:20:23
501,2029,54,2023-07-16 13:55:12
502,4603,83,2023-02-14 17:03:19
503,3827,71,2023-01-17 03:11:47
504,3532,82,2023-02-06 05:59:12
505,1199,12,2023-06-17 14:59:06
506,131,27,2022-11-03 17:36:24
507,4984,20,2023-09-09 14:24:26
508,2374,88,2023-03-05 13:41:00
509,2168,45,2023-02-05 02:48:04
510,4302,52,2022-10-12 19:23:29
511,1307,54,2023-06-11 22:58:44
512,3696,26,2023-08-16 08:56:43
513,4951,30,2022-12-18 17:54:34
514,1555,35,2023-01-12 21:28:01
515,2347,8,2023-08-06 18:07:01
516,483,24,2022-09-29 12:12:16
517,525,45,2022-10-16 21:32:58
518,3318,59,2023-05-04 01:03:21
519,1923,76,2023-09-09 15:27:39
520,4261,35,2022-12-11 15:56:21
521,4949,68,2023-05-29 18:05:49
522,4650,45,2023-05-03 09:29:46
523,3330,4,2023-02-05 01:18:52
524,1448,7,2022-11-25 02:31:18
525,1672,47,2023-01-19 04:23:48
526,1809,40,2023-02-21 04:37:54
527,3057,49,2023-02-27 12:40:42
528,1299,16,2022-11-30 18:24:43
529,3094,1,2023-04-14 05:44:41
530,3194,54,2023-04-19 03:19:21
531,4832,45,2023-04-11 04:41:02
532,284,57,2023-05-24 07:28:15
533,2884,49,2022-10-15 02:37:05
534,4073,42,2023-01-14 21:01:57
535,302,53,2023-08-16 10:31:22
536,3304,29,2023-03-24 18:56:38
537,2557,59,2023-05-10 11:20:59
538,3297,25,2023-07-28 04:57:49
539,883,99,2022-11-13 09:29:43
540,3648,62,2023-02-13 23:05:24
541,1230,7,2023-09-05 06:39:48
542,4103,11,2023-03-10 12:55:53
543,4728,6,2022-09-30 16:02:32
544,2192,89,2023-08-28 04:00:21
545,4491,28,2023-05-27 15:55:04
546,1673,52,2023-05-01 18:40:37
547,3897,74,2022-10-02 14:15:07
548,555,2,2022-10-12 02:07:46
549,3910,77,2023-06-02 07:15:08
550,2373,13,2023-08-27 07:15:14
551,1514,30,2023-06-09 02:22:53
552,1096,97,2023-08-23 19:57:25
553,3916,44,2022-10-15 14:39:12
554,3300,64,2023-01-08 20:27:16
555,3093,20,2022-12-23 14:51:05
556,2007,81,2022-11-08 21:05:43
557,4626,100,2023-09-18 23:22:02
558,1372,54,2023-05-24 00:54:42
559,3247,3,2023-03-22 09:51:23
560,2783,51,2022-12-16 09:52:11
561,3350,62,2022-11-06 12:18:25
562,2773,93,2023-08-28 11:56:49
563,191,47,2023-04-26 05:33:34
564,3602,41,2023-08-23 07:00:19
565,1428,67,2023-04-06 04:35:33
566,2656,84,2022-11-07 15:41:07
567,138,56,2023-05-04 11:04:06
568,4030,43,2023-08-11 19:20:03
569,1606,68,2022-12-04 03:19:00
570,2908,53,2023-02-17 06:57:50
571,2761,82,2022-11-01 04:45:54
572,1545,56,2022-11-23 22:54:34
573,2317,32,2023-07-31 01:48:29
574,2296,82,2023-07-11 23:27:37
575,2705,24,2022-11-25 15:34:15
576,4919,49,2022-10-23 22:20:06
577,2253,85,2023-05-22 22:36:59
578,358,15,2023-07-21 05:45:45
579,890,72,2023-09-02 20:44:01
580,1121,9,2022-10-24 21:10:18
581,2348,89,2022-11-07 19:49:39
582,4425,29,2023-01-08 15:11:28
583,2872,52,2023-08-17 14:59:41
584,4428,20,2023-04-26 02:26:19
585,2894,94,2023-07-31 18:14:24
586,3776,71,2023-05-20 19:12:59
587,2482,24,2022-10-28 00:10:30
588,3743,71,2023-03-18 12:53:52
589,2805,69,2023-06-08 11:44:25
590,105,68,2023-07-28 19:59:33
591,4027,72,2023-02-11 15:09:55
592,4123,72,2023-07-23 11:51:04
593,4783,69,2022-12-21 18:18:21
594,64,78,2023-02-13 21:53:50
595,2518,28,2023-05-25 17:59:47
596,4649,45,2023-04-15 18:06:23
597,2521,79,2022-12-31 21:41:31
598,236,23,2023-05-31 18:58:25
599,572,51,2022-09-28 16:18:47
600,1496,93,2023-06-22 06:21:35
601,1082,30,2023-01-26 11:33:14
602,1600,5,2023-06-12 22:08:54
603,661,94,2023-09-24 18:52:45
604,1362,81,2023-06-11 07:11:46
605,1504,2,2023-02-06 06:28:55
606,2220,63,2023-03-06 20:51:15
607,1890,29,2022-12-08 14:56:03
608,3351,13,2023-03-27 06:23:23
609,2005,49,2023-08-31 04:21:26
610,1224,93,2022-12-02 09:22:56
611,664,80,2023-03-02 08:32:40
612,1267,27,2023-04-09 08:32:55
613,86,75,2023-08-19 12:15:59
614,377,24,2023-06-15 08:54:53
615,673,61,2023-01-17 06:55:25
616,1844,31,2023-07-18 06:06:14
617,1586,3,2023-07-19 03:17:59
618,4310,100,2023-01-06 18:49:22
619,3323,24,2023-08-27 18:51:11
620,2650,36,2022-11-03 12:20:59
621,4346,38,2023-09-17 01:17:59
622,3766,9,2023-03-18 00:42:27
623,1218,10,2022-10-10 12:12:09
624,4901,93,2023-09-24 10:29:51
625,54,66,2023-02-23 03:44:12
626,2808,97,2023-05-19 14:18:43
627,3419,100,2022-12-14 17:28:15
628,891,15,2023-01-05 15:22:38
629,272,98,2022-11-28 19:24:01
630,1867,67,2022-11-30 13:35:40
631,3506,8,2023-05-22 18:17:40
632,4357,67,2023-01-06 13:05:44
633,3655,1,2023-09-25 20:26:33
634,768,94,2023-01-01 22:56:23
635,1309,14,2022-12-27 12:12:19
636,3550,96,2023-01-21 15:28:25
637,642,77,2022-11-27 20:18:39
638,2356,66,2023-03-26 22:02:37
639,2031,71,2023-05-22 15:11:52
640,826,14,2022-11-21 16:26:01
641,317,43,2023-06-10 15:38:00
642,850,22,2023-06-19 13:29:02
643,2371,100,2022-12-26 05:58:35
644,4312,49,2023-02-06 02:31:01
645,600,3,2023-02-03 06:04:35
646,1515,92,2023-06-03 18:48:44
647,3557,59,2023-02-18 13:48:11
648,4497,36,2023-08-02 04:33:59
649,488,71,2023-04-23 06:20:12
650,881,66,2022-12-09 10:04:17
651,2969,93,2023-03-09 19:05:03
652,1003,46,2023-06-01 04:18:07
653,2503,78,2023-05-28 00:30:07
654,4173,84,2022-12-05 04:00:02
655,3875,7,2023-04-29 05:37:30
656,4429,8,2022-11-05 23:25:40
657,1396,33,2023-05-15 09:54:38
658,2331,17,2022-11-16 19:13:23
659,3955,4,2023-04-09 02:33:58
660,3924,46,2023-03-24 18:02:27
661,2626,54,2022-09-28 14:28:12
662,70,45,2023-02-28 08:41:10
663,4141,32,2022-10-29 13:53:41
664,618,95,2023-04-04 04:15:31
665,1446,13,2023-04-09 17:43:35
666,4385,91,2023-08-12 19:08:49
667,4607,61,2022-10-08 11:34:52
668,3627,36,2023-05-23 14:48:38
669,3292,3,2023-02-08 10:15:18
670,3311,20,2023-01-26 18:29:25
671,678,17,2023-05-21 03:55:04
672,465,8,2023-03-08 08:11:51
673,2321,93,2022-11-27 11:19:20
674,4493,17,2022-12-28 17:52:33
675,1522,67,2022-12-26 13:53:07
676,1280,43,2022-10-29 14:00:13
677,2586,29,2022-10-28 14:20:40
678,2976,88,2023-01-13 03:15:44
679,106,81,2023-06-07 15:16:29
680,1268,11,2022-12-09 04:10:05
681,2231,40,2023-08-03 14:14:51
682,2915,68,2023-04-09 02:14:46
683,4477,78,2023-04-26 11:08:08
684,2109,65,2023-07-17 21:11:16
685,1667,53,2023-04-13 19:06:18
686,40,51,2022-10-29 10:30:19
687,1648,10,2022-11-27 02:38:27
688,4363,10,2022-11-27 09:42:55
689,2612,27,2023-02-21 12:11:33
690,3824,95,2023-05-14 10:30:17
691,1271,25,2022-12-18 04:03:11
692,2599,81,2023-09-15 18:29:46
693,2611,97,2023-04-12 04:06:22
694,4886,2,2023-09-15 23:14:36
695,4856,19,2023-06-06 02:45:21
696,3876,21,2023-08-30 06:48:33
697,1918,29,2023-06-09 02:38:39
698,1351,56,2023-03-28 15:15:22
699,1105,34,2022-12-05 12:17:42
700,2237,56,2023-07-18 16:53:33
701,964,22,2023-07-20 17:35:59
702,2893,98,2023-01-07 00:34:36
703,1170,38,2023-03-17 05:19:36
704,1198,6,2023-04-25 14:08:55
